         314237720 function calls (309171621 primitive calls) in 2552.880 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
11644397/9940132 1876.145    0.000 1927.347    0.000 {built-in method numpy.core._multiarray_umath.implement_array_function}
   671982    0.876    0.000    5.348    0.000 core.py:1127(<lambda>)
  1008125    0.874    0.000    0.874    0.000 config.py:70(check_exists)
   112321    0.869    0.000    7.774    0.000 lax_numpy.py:4154(_split_index_for_jit)
   439630    0.855    0.000    7.742    0.000 lax_numpy.py:298(_check_arraylike)
  1133420    0.843    0.000    3.551    0.000 {built-in method builtins.all}
    27900    0.817    0.000   18.651    0.001 partial_eval.py:165(process_call)
2614663/2611366    0.816    0.000    0.831    0.000 {built-in method builtins.hash}
   140278    0.800    0.000   70.957    0.001 ad.py:279(process_primitive)
  4784067    0.783    0.000    0.783    0.000 multiarray.py:635(result_type)
  1939822    0.774    0.000    0.774    0.000 xla.py:1040(type_is_device_array)
  1045545    0.771    0.000    1.854    0.000 lax.py:3241(<genexpr>)
37203/37200    0.764    0.000   31.930    0.001 api.py:259(cache_miss)
254117/254114    0.755    0.000    1.545    0.000 contextlib.py:116(__exit__)
   990323    0.749    0.000   22.198    0.000 ad.py:397(aval)
321043/321041    0.740    0.000    5.368    0.000 fromnumeric.py:55(_wrapfunc)
    84475    0.733    0.000   48.195    0.001 ad.py:457(standard_jvp)
  3421322    0.721    0.000    0.721    0.000 fromnumeric.py:1852(_shape_dispatcher)
  1159639    0.707    0.000    0.881    0.000 xla.py:1128(ndim)
    55800    0.696    0.000   50.576    0.001 lax.py:4205(_gather_transpose_rule)
   448008    0.686    0.000    0.802    0.000 lax.py:6324(_check_user_dtype_supported)
      158    0.682    0.004    2.053    0.013 util.py:123(toposort)
167762/111962    0.679    0.000   51.702    0.000 lax.py:841(gather)
   197008    0.662    0.000    1.000    0.000 util.py:38(unzip2)
   223925    0.662    0.000    2.593    0.000 lax_numpy.py:2697(_can_call_numpy_array)
        4    0.658    0.165    0.658    0.165 {method 'recv_into' of '_socket.socket' objects}
    65100    0.658    0.000   19.907    0.000 xla.py:568(_xla_call_impl)
   254119    0.655    0.000    0.747    0.000 contextlib.py:81(__init__)
120914/65100    0.647    0.000   37.671    0.001 core.py:1228(bind)
1461931/1461750    0.638    0.000    1.674    0.000 {built-in method builtins.next}
   131242    0.633    0.000   18.501    0.000 lax_numpy.py:319(_promote_args)
