         30023233 function calls (29541370 primitive calls) in 52.324 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    38132    0.068    0.000    0.328    0.000 xla.py:156(_canonicalize_ndarray_dtype)
    34276    0.067    0.000    0.174    0.000 numerictypes.py:365(issubdtype)
    33252    0.067    0.000    0.427    0.000 fromnumeric.py:2277(all)
       31    0.067    0.002    0.068    0.002 core.py:4846(epv00)
    12686    0.067    0.000    0.067    0.000 {built-in method jaxlib.xla_extension.get_traceback}
    73486    0.067    0.000    0.067    0.000 config.py:70(check_exists)
      986    0.066    0.000    0.356    0.000 <frozen importlib._bootstrap_external>:914(get_data)
  2655/11    0.066    0.000   39.970    3.634 traceback_util.py:136(reraise_with_filtered_traceback)
    23186    0.066    0.000    0.962    0.000 ad.py:167(write_cotangent)
     4320    0.066    0.000    0.083    0.000 __init__.py:1679(normalize_kwargs)
     8641    0.065    0.000    0.569    0.000 lax_numpy.py:4154(_split_index_for_jit)
   192286    0.064    0.000    0.064    0.000 xla.py:1116(shape)
    48308    0.063    0.000    0.388    0.000 core.py:1127(<lambda>)
    32519    0.063    0.000    0.542    0.000 lax_numpy.py:298(_check_arraylike)
     9244    0.062    0.000    1.016    0.000 lax.py:1452(_device_put_raw)
27522/27520    0.062    0.000    0.450    0.000 fromnumeric.py:55(_wrapfunc)
200570/197273    0.062    0.000    0.083    0.000 {built-in method builtins.hash}
    85380    0.062    0.000    0.268    0.000 {built-in method builtins.all}
28613/28610    0.061    0.000    0.158    0.000 contextlib.py:116(__exit__)
2792/2696    0.059    0.000    0.377    0.000 {built-in method builtins.__build_class__}
   140629    0.059    0.000    0.059    0.000 xla.py:1040(type_is_device_array)
     1980    0.059    0.000    1.382    0.001 partial_eval.py:165(process_call)
127758/127721    0.058    0.000    0.249    0.000 {built-in method builtins.next}
        1    0.058    0.058    0.117    0.117 backend_bases.py:3261(new_figure_manager_given_figure)
161446/161296    0.056    0.000    0.078    0.000 {built-in method builtins.setattr}
    77575    0.056    0.000    0.130    0.000 lax.py:3241(<genexpr>)
     9958    0.055    0.000    5.354    0.001 ad.py:279(process_primitive)
    70307    0.055    0.000    1.528    0.000 ad.py:397(aval)
   353194    0.055    0.000    0.055    0.000 multiarray.py:635(result_type)
2643/2640    0.053    0.000    2.361    0.001 api.py:259(cache_miss)
    87988    0.053    0.000    0.067    0.000 xla.py:1128(ndim)
      360    0.051    0.000    0.058    0.000 {method 'draw_markers' of 'matplotlib.backends._backend_agg.RendererAgg' objects}
    10321    0.051    0.000    0.210    0.000 artist.py:942(update)
    38403    0.050    0.000    0.721    0.000 fixedwidth.py:37(__call__)
    33141    0.050    0.000    0.058    0.000 lax.py:6324(_check_user_dtype_supported)
       14    0.049    0.004    0.147    0.011 util.py:123(toposort)
     5995    0.049    0.000    3.427    0.001 ad.py:457(standard_jvp)
   246715    0.049    0.000    0.049    0.000 fromnumeric.py:1852(_shape_dispatcher)
    91243    0.048    0.000    0.439    0.000 _methods.py:47(_all)
    16565    0.048    0.000    0.183    0.000 lax_numpy.py:2697(_can_call_numpy_array)
     4620    0.047    0.000    1.658    0.000 xla.py:568(_xla_call_impl)
12242/8282    0.047    0.000    3.677    0.000 lax.py:841(gather)
2013/1982    0.047    0.000    0.069    0.000 core.py:2126(_expand_and_gather)
     3960    0.046    0.000    3.585    0.001 lax.py:4205(_gather_transpose_rule)
    14264    0.045    0.000    0.070    0.000 util.py:38(unzip2)
    83921    0.044    0.000    0.435    0.000 lax_numpy.py:301(<genexpr>)
    12588    0.043    0.000    0.092    0.000 partial_eval.py:556(new_eqn_recipe)
     7966    0.043    0.000    0.088    0.000 column.py:971(__setitem__)
    35804    0.043    0.000    0.058    0.000 partial_eval.py:433(__init__)
    33252    0.043    0.000    0.514    0.000 <__array_function__ internals>:2(all)
     9293    0.041    0.000    1.232    0.000 lax_numpy.py:319(_promote_args)
    19548    0.041    0.000    0.623    0.000 dtypes.py:296(<setcomp>)
    22872    0.041    0.000    0.418    0.000 fromnumeric.py:97(take)
    53075    0.040    0.000    0.396    0.000 partial_eval.py:76(get_aval)
       14    0.040    0.003    0.750    0.054 partial_eval.py:591(tracers_to_jaxpr)
    13931    0.040    0.000    0.040    0.000 {built-in method numpy.zeros}
    16562    0.039    0.000    0.671    0.000 lax_numpy.py:2702(asarray)
     8641    0.039    0.000    0.041    0.000 lax_numpy.py:4179(_merge_static_and_dynamic_indices)
     8641    0.039    0.000    0.379    0.000 lax_numpy.py:4413(_expand_bool_indices)
    15771    0.039    0.000    0.039    0.000 {built-in method numpy.empty}
    55455    0.039    0.000    0.039    0.000 fromnumeric.py:74(<dictcomp>)
    35824    0.038    0.000    0.252    0.000 partial_eval.py:608(getvar)
    23173    0.038    0.000    0.055    0.000 ad.py:185(read_primal)
    18228    0.038    0.000    1.045    0.000 lax_numpy.py:267(_promote_dtypes)
     1980    0.038    0.000    1.707    0.001 ad.py:291(process_call)
      131    0.038    0.000    0.038    0.000 {built-in method posix.listdir}
    27121    0.038    0.000    0.057    0.000 util.py:301(__new__)
   175825    0.037    0.000    0.037    0.000 {method 'items' of 'dict' objects}
     2589    0.037    0.000    0.068    0.000 inspect.py:613(cleandoc)
     9484    0.037    0.000    0.052    0.000 numeric.py:1273(normalize_axis_tuple)
 1775/368    0.036    0.000    0.103    0.000 sre_parse.py:475(_parse)
     4620    0.036    0.000    0.171    0.000 lax.py:3514(_reshape_impl)
    21250    0.036    0.000    0.068    0.000 __init__.py:2018(_setattr_cm)
    10093    0.036    0.000    0.036    0.000 {method 'splitlines' of 'str' objects}
      361    0.035    0.000    0.042    0.000 {method 'draw_path' of 'matplotlib.backends._backend_agg.RendererAgg' objects}
    16564    0.035    0.000    0.100    0.000 partial_eval.py:100(new_const)
     4742    0.035    0.000    0.106    0.000 numeric.py:1336(moveaxis)
     7928    0.035    0.000    1.776    0.000 lax.py:669(broadcast)
    12905    0.035    0.000    2.741    0.000 lax.py:343(add)
     9301    0.035    0.000    3.176    0.000 lax_numpy.py:1367(expand_dims)
    18228    0.034    0.000    0.380    0.000 lax_numpy.py:274(<listcomp>)
8594/4620    0.034    0.000    2.873    0.001 core.py:1228(bind)
   189319    0.034    0.000    0.034    0.000 core.py:591(pure)
    40470    0.033    0.000    0.421    0.000 partial_eval.py:447(aval)
56349/56185    0.033    0.000    0.045    0.000 {built-in method builtins.hasattr}
    37800    0.032    0.000    0.049    0.000 partial_eval.py:50(__new__)
     8931    0.032    0.000    3.838    0.000 lax.py:477(concatenate)
     1440    0.032    0.000    0.148    0.000 lines.py:667(recache)
     9469    0.032    0.000    0.294    0.000 xla.py:111(array_result_handler)
    39792    0.032    0.000    0.134    0.000 dtypes.py:273(is_weakly_typed)
    28615    0.032    0.000    0.111    0.000 contextlib.py:237(helper)
     3301    0.032    0.000    0.834    0.000 lax.py:3257(_broadcast_in_dim_transpose_rule)
   112068    0.031    0.000    0.031    0.000 partial_eval.py:72(get_known)
     7923    0.031    0.000    1.980    0.000 lax.py:1435(full)
     9953    0.031    0.000    0.185    0.000 lax_numpy.py:237(_promote_shapes)
     8641    0.031    0.000    0.057    0.000 lax_numpy.py:4460(_canonicalize_tuple_index)
      480    0.031    0.000    0.688    0.001 ticker.py:2019(_raw_ticks)
   1621/1    0.031    0.000   52.410   52.410 {built-in method builtins.exec}
   159024    0.031    0.000    0.031    0.000 dtypes.py:192(<genexpr>)
28615/28606    0.031    0.000    0.155    0.000 contextlib.py:107(__enter__)
    23858    0.030    0.000    0.039    0.000 linear_util.py:135(wrap)
   145496    0.030    0.000    0.030    0.000 {function RcParams.__getitem__ at 0x1122191e0}
     6644    0.030    0.000    0.361    0.000 ad.py:268(pure)
    12787    0.030    0.000    0.097    0.000 source_info_util.py:54(current)
      660    0.030    0.000   27.366    0.041 model.py:270(__call__)
        1    0.030    0.030    0.030    0.030 backend_macosx.py:139(_init_toolbar)
    12194    0.030    0.000    0.030    0.000 {built-in method numpy.arange}
      339    0.030    0.000    0.082    0.000 doccer.py:10(docformat)
    16567    0.030    0.000    0.092    0.000 tree_util.py:79(tree_leaves)
    11102    0.029    0.000    0.122    0.000 numeric.py:166(ones)
   152946    0.029    0.000    0.029    0.000 fromnumeric.py:2982(_ndim_dispatcher)
     1980    0.029    0.000    0.785    0.000 ad.py:543(call_transpose)
     3961    0.029    0.000    1.815    0.000 ad.py:431(linear_jvp)
     1080    0.029    0.000    1.344    0.001 axis.py:56(__init__)
    12588    0.029    0.000    0.327    0.000 partial_eval.py:582(recipe_to_eqn)
     3960    0.028    0.000    1.482    0.000 lax.py:896(scatter_add)
    17212    0.028    0.000    0.060    0.000 linear_util.py:204(transformation_with_aux)
       11    0.028    0.003   30.364    2.760 model.py:176(forward)
15987/6979    0.028    0.000    0.033    0.000 transforms.py:137(_invalidate_internal)
    22872    0.028    0.000    0.475    0.000 <__array_function__ internals>:2(take)
8643/8640    0.027    0.000    3.803    0.000 lax_numpy.py:4957(deferring_binary_op)
     4620    0.027    0.000    0.352    0.000 lax.py:706(reshape)
   128372    0.027    0.000    0.027    0.000 {method 'pop' of 'dict' objects}
    57759    0.027    0.000    0.034    0.000 partial_eval.py:451(parents)
    25270    0.027    0.000    0.027    0.000 source_info_util.py:57(user_context)
     6675    0.027    0.000    0.029    0.000 tree_util.py:63(tree_unflatten)
    51402    0.026    0.000    0.390    0.000 lax_numpy.py:297(_arraylike)
   231105    0.026    0.000    0.026    0.000 {built-in method builtins.id}
   150574    0.026    0.000    0.026    0.000 artist.py:774(get_animated)
        1    0.026    0.026    0.056    0.056 backend_macosx.py:115(__init__)
    16562    0.026    0.000    0.174    0.000 lax_numpy.py:333(_constant_like)
    12659    0.026    0.000    0.044    0.000 numeric.py:1782(isscalar)
      300    0.026    0.000    0.026    0.000 {method 'draw_glyphs_to_bitmap' of 'matplotlib.ft2font.FT2Font' objects}
    12379    0.025    0.000    0.042    0.000 posixpath.py:75(join)
    70569    0.025    0.000    0.025    0.000 {built-in method from_iterable}
    33120    0.024    0.000    0.031    0.000 __init__.py:2157(_check_in_list)
     1980    0.024    0.000    1.088    0.001 partial_eval.py:303(partial_eval)
    14571    0.024    0.000    2.567    0.000 partial_eval.py:136(process_primitive)
8594/4620    0.024    0.000    2.514    0.001 core.py:1231(process)
10975/4928    0.024    0.000    0.134    0.000 core.py:1801(__call__)
   116394    0.024    0.000    0.024    0.000 {built-in method _operator.index}
    83157    0.024    0.000    0.024    0.000 {method 'startswith' of 'str' objects}
     5995    0.024    0.000    1.509    0.000 ad.py:459(<listcomp>)
      369    0.024    0.000    0.024    0.000 {built-in method builtins.compile}
    28410    0.024    0.000    0.024    0.000 transforms.py:82(__init__)
     8943    0.024    0.000    2.029    0.000 lax.py:409(lt)
     6613    0.023    0.000    0.255    0.000 partial_eval.py:108(new_instantiated_const)
     3060    0.023    0.000    0.107    0.000 font_manager.py:620(__init__)
     3961    0.023    0.000   12.573    0.003 core.py:525(__getitem__)
    16953    0.023    0.000    0.202    0.000 fromnumeric.py:2189(any)
    17235    0.023    0.000    0.216    0.000 partial_eval.py:118(instantiate_const)
     4620    0.023    0.000    0.446    0.000 linear_util.py:243(memoized_fun)
    17255    0.023    0.000    0.045    0.000 partial_eval.py:65(unknown)
     9258    0.022    0.000    0.027    0.000 core.py:755(new_sublevel)
    10982    0.022    0.000    0.108    0.000 xla.py:178(_make_abstract_python_scalar)
     8930    0.022    0.000    3.860    0.000 lax_numpy.py:2528(<listcomp>)
8300/8296    0.022    0.000    1.774    0.000 lax.py:756(select)
     1687    0.022    0.000    0.166    0.000 <frozen importlib._bootstrap_external>:1356(find_spec)
35353/35343    0.022    0.000    0.022    0.000 {method 'update' of 'dict' objects}
     4615    0.021    0.000    0.039    0.000 linear_util.py:140(populate_stores)
     4688    0.021    0.000    0.061    0.000 xla.py:239(_partition_outputs)
     6615    0.021    0.000    2.482    0.000 lax_numpy.py:379(<lambda>)
    33130    0.021    0.000    0.032    0.000 lax_numpy.py:2698(<genexpr>)
     3344    0.021    0.000    0.093    0.000 lax.py:2124(_brcast)
   114072    0.021    0.000    0.021    0.000 xla.py:72(identity)
     4688    0.020    0.000    0.030    0.000 xla.py:244(<listcomp>)
    29859    0.020    0.000    0.192    0.000 lax_numpy.py:309(<genexpr>)
    31924    0.020    0.000    0.025    0.000 artist.py:338(pchanged)
       14    0.020    0.001    0.056    0.004 util.py:154(check_toposort)
     4620    0.020    0.000    0.027    0.000 lax.py:3528(_is_singleton_reshape)
     8580    0.019    0.000    0.020    0.000 {method 'copy' of 'numpy.ndarray' objects}
    10972    0.019    0.000    0.826    0.000 <__array_function__ internals>:2(delete)
    26096    0.019    0.000    0.019    0.000 {built-in method numpy.core._multiarray_umath.normalize_axis_index}
    11881    0.019    0.000    0.064    0.000 typing.py:710(__subclasscheck__)
    19223    0.019    0.000    0.196    0.000 lax_numpy.py:350(issubdtype)
    17956    0.019    0.000    0.034    0.000 transforms.py:1683(__init__)
      986    0.019    0.000    0.658    0.001 <frozen importlib._bootstrap_external>:793(get_code)
     4080    0.019    0.000    0.147    0.000 markers.py:292(set_marker)
     8641    0.019    0.000    0.170    0.000 lax_numpy.py:4444(_is_advanced_int_indexer)
     7339    0.019    0.000    0.149    0.000 abstract_arrays.py:70(_make_concrete_python_scalar)
    46355    0.019    0.000    0.021    0.000 {built-in method builtins.min}
     1125    0.019    0.000    0.172    0.000 posixpath.py:393(_joinrealpath)
    14571    0.019    0.000    0.026    0.000 partial_eval.py:145(<listcomp>)
     4625    0.019    0.000    0.070    0.000 lax_numpy.py:1651(broadcast_arrays)
    34355    0.019    0.000    0.029    0.000 linear_util.py:97(val)
      840    0.018    0.000    0.198    0.000 lines.py:751(draw)
     2903    0.018    0.000    0.112    0.000 quantity.py:434(__array_ufunc__)
    19597    0.018    0.000    0.270    0.000 core.py:204(<lambda>)
      964    0.018    0.000    0.022    0.000 sre_compile.py:276(_optimize_charset)
    21104    0.018    0.000    0.021    0.000 {built-in method _abc._abc_instancecheck}
     1440    0.018    0.000    0.024    0.000 transforms.py:2791(nonsingular)
    19548    0.018    0.000    0.699    0.000 lax_numpy.py:360(result_type)
     2580    0.018    0.000    0.221    0.000 text.py:121(__init__)
      480    0.018    0.000    0.075    0.000 ticker.py:767(_set_format)
    10985    0.018    0.000    0.051    0.000 xla.py:159(_canonicalize_python_scalar_dtype)
     8594    0.018    0.000    0.040    0.000 core.py:770(maybe_new_sublevel)
    34238    0.017    0.000    0.030    0.000 dtypes.py:140(_issubclass)
    16440    0.017    0.000    0.064    0.000 artist.py:49(_stale_axes_callback)
     5269    0.017    0.000    0.981    0.000 ad_util.py:33(add_jaxvals)
      150    0.017    0.000    0.094    0.001 core.py:2231(_add_prefixes)
13064/12521    0.017    0.000    0.018    0.000 {built-in method _abc._abc_subclasscheck}
     3360    0.017    0.000    0.040    0.000 lines.py:1146(set_linestyle)
     2225    0.017    0.000    0.017    0.000 {method 'round' of 'numpy.ndarray' objects}
     9275    0.017    0.000    0.067    0.000 lax_numpy.py:354(isscalar)
20581/20485    0.017    0.000    0.044    0.000 {method 'view' of 'numpy.ndarray' objects}
    12604    0.017    0.000    0.022    0.000 ad.py:182(read_cotangent)
    11476    0.016    0.000    0.043    0.000 <__array_function__ internals>:2(can_cast)
    11140    0.016    0.000    0.061    0.000 <__array_function__ internals>:2(copyto)
 2677/330    0.016    0.000    0.046    0.000 sre_compile.py:71(_compile)
     3120    0.016    0.000    0.018    0.000 font_manager.py:776(set_weight)
    19597    0.016    0.000    0.248    0.000 core.py:165(__init__)
    16575    0.016    0.000    0.037    0.000 partial_eval.py:61(known)
     6655    0.016    0.000    0.135    0.000 core.py:1069(at_least_vspace)
     5995    0.016    0.000    0.242    0.000 ad_util.py:74(from_value)
     9953    0.016    0.000    0.141    0.000 lax_numpy.py:242(<listcomp>)
    18599    0.016    0.000    0.016    0.000 ad.py:390(__init__)
     2903    0.016    0.000    0.016    0.000 {function Quantity.__array_ufunc__ at 0x113465e18}
    11881    0.016    0.000    0.079    0.000 typing.py:707(__instancecheck__)
    16953    0.016    0.000    0.240    0.000 <__array_function__ internals>:2(any)
29127/29123    0.015    0.000    0.018    0.000 {method 'join' of 'str' objects}
        5    0.015    0.003    0.015    0.003 core.py:6402(c2i06a)
    19800    0.015    0.000    0.336    0.000 xla.py:829(<genexpr>)
     9827    0.015    0.000    0.015    0.000 {method 'astype' of 'numpy.ndarray' objects}
    51807    0.015    0.000    0.015    0.000 {method 'issubset' of 'set' objects}
     4620    0.015    0.000    0.062    0.000 xla.py:832(<listcomp>)
    12926    0.015    0.000    0.015    0.000 {method 'reshape' of 'numpy.ndarray' objects}
    29876    0.015    0.000    0.098    0.000 _asarray.py:88(asanyarray)
    38423    0.015    0.000    0.020    0.000 {built-in method builtins.iter}
     8282    0.015    0.000    0.017    0.000 lax_numpy.py:141(__hash__)
    10935    0.015    0.000    0.015    0.000 {method 'expandtabs' of 'str' objects}
5818/5787    0.014    0.000    0.093    0.000 core.py:2051(__init__)
    18662    0.014    0.000    0.080    0.000 lax_numpy.py:4448(<genexpr>)
    13247    0.014    0.000    0.014    0.000 dtypes.py:279(is_python_scalar)
    23421    0.014    0.000    0.014    0.000 sre_parse.py:233(__next)
     9240    0.014    0.000    3.369    0.000 lax_numpy.py:4219(<genexpr>)
     3662    0.014    0.000    0.045    0.000 lax.py:3455(squeeze)
      900    0.014    0.000    0.200    0.000 text.py:655(draw)
     3611    0.014    0.000    0.037    0.000 transforms.py:726(__init__)
     2385    0.014    0.000    0.022    0.000 posixpath.py:331(normpath)
     4648    0.014    0.000    0.028    0.000 linear_util.py:217(wrap_init)
     9951    0.014    0.000    0.016    0.000 util.py:248(canonicalize_axis)
    11907    0.014    0.000    0.016    0.000 lax.py:4077(_no_duplicate_dims)
     1184    0.014    0.000    0.037    0.000 inspect.py:2115(_signature_from_function)
     8160    0.014    0.000    0.107    0.000 markers.py:245(_recache)
      649    0.014    0.000    1.186    0.002 lax.py:3339(_concatenate_transpose_rule)
  140/107    0.014    0.000    0.193    0.002 {built-in method _imp.exec_dynamic}
     4620    0.014    0.000    0.426    0.000 lax_numpy.py:4262(<listcomp>)
    28506    0.013    0.000    0.013    0.000 linear_util.py:125(__init__)
     1298    0.013    0.000    1.122    0.001 lax.py:763(slice)
